Gene1	Gene2	Score
20	1	1
21	2	1
22	3	1
23	4	1
24	5	1
25	6	1
26	7	1
27	8	1
29	10	1
30	11	1
32	13	1
34	15	1
35	16	1
36	17	1
37	18	1
38	19	1
1	20	1
2	21	1
3	22	1
4	23	1
5	24	1
6	25	1
7	26	1
8	27	1
10	29	1
11	30	1
13	32	1
15	34	1
16	35	1
17	36	1
18	37	1
19	38	1
28	9	1
31	12	1
9	28	1
12	31	1
33	14	1
14	33	1
9	12	0.957582155827255
9	31	0.957582155827255
28	12	0.957582155827254
28	31	0.957582155827254
9	6	0.956145674815123
9	25	0.956145674815123
28	6	0.956145674815123
28	25	0.956145674815123
9	1	0.955132225248417
28	1	0.955132225248417
1	9	0.955132225248417
20	9	0.955132225248417
9	20	0.955132225248417
28	20	0.955132225248417
1	28	0.955132225248417
20	28	0.955132225248417
9	21	0.955018371848797
28	21	0.955018371848797
9	2	0.955018371848796
28	2	0.955018371848796
1	31	0.954835195994743
1	12	0.954835195994743
20	12	0.954835195994743
20	31	0.954835195994743
20	25	0.952756546148248
1	25	0.952756546148248
1	6	0.952756546148247
20	6	0.952756546148247
9	4	0.952743193498636
9	23	0.952743193498636
28	4	0.952743193498636
28	23	0.952743193498636
1	2	0.952289868373418
20	2	0.952289868373418
1	21	0.952289868373418
20	21	0.952289868373417
1	23	0.948501230814858
1	4	0.948501230814857
20	23	0.948501230814857
20	4	0.948501230814857
9	37	0.946904632899573
9	18	0.946904632899572
28	37	0.946904632899572
28	18	0.946904632899572
37	12	0.944423467937636
37	31	0.944423467937636
18	12	0.944423467937635
18	31	0.944423467937635
1	18	0.943946037047221
20	18	0.943946037047221
1	37	0.94394603704722
20	37	0.94394603704722
37	6	0.942973965420299
37	25	0.942973965420299
18	6	0.942973965420299
18	25	0.942973965420298
37	2	0.939334958914115
37	21	0.939334958914115
18	2	0.939334958914115
18	21	0.939334958914115
37	4	0.934117898833587
37	23	0.934117898833587
18	4	0.934117898833587
18	23	0.934117898833587
17	29	0.890952284730977
36	29	0.890952284730977
17	10	0.890952284730977
36	10	0.890952284730976
13	28	0.877681023416033
32	28	0.877681023416033
32	9	0.877681023416033
13	9	0.877681023416032
13	10	-0.875837111000896
32	10	-0.875837111000896
13	29	-0.875837111000896
32	29	-0.875837111000896
13	1	0.871973357182353
32	1	0.871973357182353
13	20	0.871973357182353
32	20	0.871973357182352
27	9	0.856185908709511
27	28	0.856185908709511
8	9	0.856185908709511
8	28	0.856185908709511
27	1	0.854265042634586
27	20	0.854265042634586
8	1	0.854265042634585
8	20	0.854265042634585
17	28	-0.852544349428538
36	28	-0.852544349428538
36	9	-0.852544349428537
17	9	-0.852544349428537
17	20	-0.851900437080647
17	1	-0.851900437080646
36	20	-0.851900437080646
36	1	-0.851900437080645
27	37	0.848307347431142
8	37	0.848307347431142
27	18	0.848307347431142
8	18	0.848307347431142
8	25	0.848132254809261
27	25	0.848132254809261
8	6	0.848132254809261
27	6	0.84813225480926
32	37	0.847666464463432
32	18	0.847666464463431
13	37	0.847666464463431
13	18	0.847666464463431
27	2	0.847088320983205
27	21	0.847088320983205
8	2	0.847088320983205
8	21	0.847088320983205
27	23	0.846763986137886
27	4	0.846763986137886
8	23	0.846763986137886
8	4	0.846763986137886
27	12	0.846568403937778
8	12	0.846568403937778
8	31	0.846568403937777
27	31	0.846568403937777
9	13	-0.845330520155452
28	13	-0.845330520155451
28	32	-0.845330520155451
9	32	-0.845330520155451
1	13	-0.843332330014747
20	13	-0.843332330014747
20	32	-0.843332330014746
1	32	-0.843332330014746
13	8	0.838704211815508
32	8	0.838704211815508
13	27	0.838704211815508
32	27	0.838704211815508
32	36	-0.836240537376429
32	17	-0.836240537376429
13	36	-0.836240537376429
13	17	-0.836240537376429
36	18	-0.831745604758411
17	18	-0.831745604758411
17	37	-0.831745604758411
36	37	-0.831745604758411
8	13	0.821779832932735
27	13	0.821779832932735
8	32	0.821779832932735
27	32	0.821779832932735
13	11	-0.808446536655557
32	11	-0.808446536655557
13	30	-0.808446536655557
32	30	-0.808446536655557
36	13	-0.804622544428683
36	32	-0.804622544428683
17	13	-0.804622544428683
17	32	-0.804622544428683
27	10	-0.797745142584531
27	29	-0.797745142584531
8	29	-0.79774514258453
8	10	-0.79774514258453
13	25	0.795477764645695
32	25	0.795477764645695
32	6	0.795477764645694
13	6	0.795477764645694
36	11	0.794976710486602
36	30	0.794976710486602
17	11	0.794976710486602
17	30	0.794976710486602
5	3	0.791072837973524
5	22	0.791072837973524
24	3	0.791072837973523
24	22	0.791072837973523
13	4	0.790036226716046
13	23	0.790036226716045
32	23	0.790036226716045
