Parent	Type	Child	Weight	Probability	Score
1	+	1	0.125754	0.999676	0.232014
2	+	1	0.017463	0.452352	0.014579
3	+	1	0.005633	0.117870	0.001225
4	-	1	-0.007964	0.413073	-0.006071
5	-	1	-0.000169	0.090432	-0.000028
6	+	1	0.007994	0.431789	0.006371
7	+	1	0.008481	0.139434	0.002182
8	+	1	0.007921	0.083981	0.001228
9	+	1	0.105559	0.989583	0.192787
10	+	1	0.006176	0.125729	0.001433
11	-	1	-0.001860	0.074679	-0.000256
12	-	1	-0.017369	0.426556	-0.013674
13	+	1	0.004618	0.111646	0.000951
14	+	1	0.006179	0.111102	0.001267
15	+	1	0.000956	0.082623	0.000146
16	-	1	-0.000165	0.123269	-0.000038
17	+	1	0.000443	0.056492	0.000046
18	+	1	0.011828	0.346972	0.007574
19	+	1	0.001426	0.120928	0.000318
20	+	1	0.063158	0.999579	0.116513
21	-	1	-0.004147	0.280519	-0.002147
22	+	1	0.015340	0.284816	0.008064
23	-	1	-0.034956	0.896553	-0.057840
24	-	1	-0.002776	0.112031	-0.000574
25	-	1	-0.013859	0.396056	-0.010130
26	+	1	0.007823	0.165291	0.002386
27	+	1	0.020795	0.368367	0.014137
28	+	1	0.057153	0.998400	0.105312
29	+	1	0.012763	0.245588	0.005785
30	-	1	-0.015399	0.230478	-0.006550
31	-	1	-0.051955	0.993704	-0.095283
32	+	1	0.009302	0.168103	0.002886
33	+	1	0.018571	0.379812	0.013018
34	-	1	-0.008028	0.130121	-0.001928
35	-	1	-0.036815	0.999277	-0.067895
36	-	1	-0.001591	0.095415	-0.000280
37	-	1	-0.006035	0.264926	-0.002951
38	-	1	-0.019308	0.438652	-0.015631
1	+	2	0.001577	0.214168	0.000623
2	-	2	-0.000586	0.430124	-0.000465
3	+	2	0.000442	0.086565	0.000071
4	-	2	-0.005662	0.426533	-0.004457
5	-	2	-0.000631	0.100822	-0.000117
6	-	2	-0.000657	0.427312	-0.000518
7	-	2	-0.000381	0.109119	-0.000077
8	+	2	0.000559	0.034378	0.000035
9	+	2	0.003114	0.244801	0.001407
10	+	2	0.000025	0.090624	0.000004
11	+	2	0.000099	0.054159	0.000010
12	-	2	-0.000611	0.400683	-0.000452
13	-	2	-0.000199	0.089563	-0.000033
